2025-06-23 12:15:25,397 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 12:15:25,407 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 12:15:25,409 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 12:15:25,412 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 12:15:25,418 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 12:15:46,829 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 12:15:46,878 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 12:15:48,566 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@b95475d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 12:15:49,454 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 12:15:55,513 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 12:15:55,642 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 12:15:55,819 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 12:15:55,834 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 12:27:36,625 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 12:27:36,704 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 12:27:36,931 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 12:27:37,803 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 12:27:37,817 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 12:27:37,817 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 12:27:37,818 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 12:27:37,826 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 12:27:59,162 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 12:27:59,208 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 12:28:00,865 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@b95475d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 12:28:01,193 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 12:28:07,904 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 12:28:08,083 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 12:28:08,254 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 12:28:08,271 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 12:29:29,035 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 12:29:29,113 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 12:29:29,364 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 12:29:30,505 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 12:29:30,521 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 12:29:30,522 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 12:29:30,522 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 12:29:30,528 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 12:29:51,844 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 12:29:51,891 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 12:29:53,510 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@b95475d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 12:29:53,834 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 12:30:05,764 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 12:30:06,011 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 12:30:06,190 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 12:30:06,202 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:07:39,808 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 13:07:39,885 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 13:07:40,121 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 13:07:41,274 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 13:07:41,285 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 13:07:41,285 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 13:07:41,287 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 13:07:41,293 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 13:08:02,608 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 13:08:02,658 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 13:08:04,303 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1c76e8e8] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 13:08:04,647 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 13:08:10,879 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 13:08:11,084 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 13:08:11,255 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:08:11,269 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:10:16,459 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 13:10:16,539 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 13:10:16,785 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 13:10:17,704 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 13:10:17,717 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 13:10:17,718 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 13:10:17,719 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 13:10:17,727 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 13:10:39,035 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 13:10:39,079 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 13:10:40,703 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@b95475d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 13:10:41,000 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 13:10:47,776 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 13:10:47,902 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 13:10:48,084 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:10:48,097 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:16:23,986 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 13:16:24,064 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 13:16:24,297 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 13:16:25,245 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 13:16:25,256 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 13:16:25,257 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 13:16:25,258 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 13:16:25,268 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
